tiempo_s,aceleracion_z
8.680,-8.521
8.690,-8.455
8.700,-8.389
8.710,-8.482
8.720,-8.698
8.730,-8.914
8.740,-9.133
8.750,-9.364
8.760,-9.595
8.770,-9.826
8.780,-9.971
8.790,-10.106
8.800,-10.241
8.810,-10.357
8.820,-10.459
8.830,-10.561
8.840,-10.667
8.850,-10.784
8.860,-10.901
8.870,-11.017
8.880,-11.089
8.890,-11.155
8.900,-11.221
8.910,-11.210
8.920,-11.138
8.930,-11.066
8.940,-10.937
8.950,-10.610
8.960,-10.283
8.970,-9.956
8.980,-9.770
8.990,-9.602
9.000,-9.434
9.010,-9.255
9.020,-9.066
9.030,-8.877
9.040,-8.723
9.050,-8.690
9.060,-8.657
9.070,-8.624
9.080,-8.593
9.090,-8.563
9.100,-8.533
9.110,-8.621
9.120,-8.804
9.130,-8.987
9.140,-9.178
9.150,-9.393
9.160,-9.609
9.170,-9.825
9.180,-10.009
9.190,-10.189
9.200,-10.369
9.210,-10.518
9.220,-10.641
9.230,-10.764
9.240,-10.886
9.250,-11.006
9.260,-11.126
9.270,-11.246
9.280,-11.279
9.290,-11.300
9.300,-11.321
9.310,-11.231
9.320,-11.051
9.330,-10.871
9.340,-10.668
9.350,-10.380
9.360,-10.092
9.370,-9.804
9.380,-9.654
9.390,-9.522
9.400,-9.390
9.410,-9.271
9.420,-9.163
9.430,-9.055
9.440,-8.971
9.450,-8.977
9.460,-8.983
9.470,-8.989
9.480,-8.950
9.490,-8.905
9.500,-8.860
9.510,-8.915
9.520,-9.053
9.530,-9.191
9.540,-9.354
9.550,-9.609
9.560,-9.864
9.570,-10.119
9.580,-10.297
9.590,-10.465
9.600,-10.633
9.610,-10.814
9.620,-11.006
9.630,-11.198
9.640,-11.375
9.650,-11.495
9.660,-11.615
9.670,-11.735
9.680,-11.611
9.690,-11.452
9.700,-11.293
9.710,-11.001
9.720,-10.596
9.730,-10.191
9.740,-9.822
9.750,-9.588
9.760,-9.354
9.770,-9.120
9.780,-8.998
9.790,-8.893
9.800,-8.789
9.810,-8.759
9.820,-8.795
9.830,-8.831
9.840,-8.853
9.850,-8.820
9.860,-8.787
9.870,-8.754
9.880,-8.904
9.890,-9.081
