Índice,Aceleracion_Z,Comentario
322,-9.380483,50 compresiones
323,-9.337387,50 compresiones
324,-12.52886,50 compresiones
325,-14.47774,50 compresiones
326,-11.66695,50 compresiones
327,-12.16494,50 compresiones
328,-12.6773,50 compresiones
329,-11.6861,50 compresiones
330,-13.0053,50 compresiones
331,-12.95503,50 compresiones
332,-12.79222,50 compresiones
333,-9.804255,50 compresiones
334,-10.29507,50 compresiones
335,-9.416395,50 compresiones
336,-9.399636,50 compresiones
337,-9.579201,50 compresiones
338,-8.944737,50 compresiones
339,-8.48984,50 compresiones
340,-9.363723,50 compresiones
341,-8.034941,50 compresiones
342,-12.09072,50 compresiones
343,-7.414843,50 compresiones
344,-8.456321,50 compresiones
345,-6.430826,50 compresiones
346,-7.338228,50 compresiones
347,-7.414843,50 compresiones
348,-7.845799,50 compresiones
349,-8.027759,50 compresiones
350,-8.200141,50 compresiones
351,-7.465121,50 compresiones
352,-7.350199,50 compresiones
353,-8.401254,50 compresiones
354,-8.185776,50 compresiones
355,-8.76996,50 compresiones
356,-8.954314,50 compresiones
357,-8.003817,50 compresiones
358,-7.807492,50 compresiones
359,-8.049306,50 compresiones
360,-7.836222,50 compresiones
361,-8.2169,50 compresiones
362,-6.914454,50 compresiones
363,-3.126827,50 compresiones
364,-10.09156,50 compresiones
365,-9.52174,50 compresiones
366,-8.944737,50 compresiones
367,-9.126697,50 compresiones
368,-9.138668,50 compresiones
369,-8.750807,50 compresiones
370,-8.714894,50 compresiones
371,-6.107608,50 compresiones
372,-7.958326,50 compresiones
373,-5.298368,50 compresiones
374,-7.48188,50 compresiones
375,-7.501034,50 compresiones
376,-7.750031,50 compresiones
377,-8.41083,50 compresiones
378,-8.264784,50 compresiones
379,-7.740454,50 compresiones
380,-7.76679,50 compresiones
381,-8.073248,50 compresiones
382,-8.631097,50 compresiones
383,-8.815451,50 compresiones
384,-8.403648,50 compresiones
385,-7.999028,50 compresiones
386,-8.109161,50 compresiones
387,-7.704541,50 compresiones
388,-7.354988,50 compresiones
389,-6.636727,50 compresiones
390,-6.208165,50 compresiones
391,-6.414066,50 compresiones
392,-7.417237,50 compresiones
393,-5.075707,50 compresiones
394,-7.85777,50 compresiones
395,-9.409213,50 compresiones
396,-8.468291,50 compresiones
397,-12.72518,50 compresiones
398,-12.52886,50 compresiones
399,-11.67892,50 compresiones
400,-12.7611,50 compresiones
401,-11.91594,50 compresiones
402,-11.892,50 compresiones
403,-13.15853,50 compresiones
404,-12.5959,50 compresiones
405,-11.87045,50 compresiones
406,-10.96544,50 compresiones
407,-8.231265,50 compresiones
408,-9.572019,50 compresiones
409,-9.279925,50 compresiones
410,-9.974244,50 compresiones
411,-9.782708,50 compresiones
412,-9.816227,50 compresiones
413,-9.002198,50 compresiones
414,-8.599973,50 compresiones
415,-5.183447,50 compresiones
416,-7.601591,50 compresiones
417,-6.931214,50 compresiones
418,-7.275979,50 compresiones
419,-7.299921,50 compresiones
420,-7.067683,50 compresiones
421,-7.994239,50 compresiones
422,-8.585608,50 compresiones
423,-8.307879,50 compresiones
424,-8.020576,50 compresiones
425,-8.226477,50 compresiones
426,-8.149862,50 compresiones
427,-9.715671,50 compresiones
428,-9.900024,50 compresiones
429,-9.634268,50 compresiones
430,-10.00776,50 compresiones
431,-10.05804,50 compresiones
432,-9.85214,50 compresiones
433,-9.28232,50 compresiones
434,-9.234436,50 compresiones
435,-7.558495,50 compresiones
436,-7.170634,50 compresiones
437,-3.196259,50 compresiones
438,-7.163452,50 compresiones
439,-1.900996,50 compresiones
440,-8.777143,50 compresiones
441,-8.432379,50 compresiones
442,-8.492233,50 compresiones
443,-8.204929,50 compresiones
444,-7.989451,50 compresiones
445,-8.015787,50 compresiones
446,-7.843405,50 compresiones
447,-7.85777,50 compresiones
448,-7.424419,50 compresiones
449,-7.726089,50 compresiones
450,-5.997475,50 compresiones
451,-6.124368,50 compresiones
452,-7.04853,50 compresiones
453,-5.71496,50 compresiones
454,-5.08289,50 compresiones
455,-5.944803,50 compresiones
456,-9.801862,50 compresiones
457,-11.46583,50 compresiones
458,-12.49534,50 compresiones
459,-15.46415,50 compresiones
460,-13.06276,50 compresiones
461,-12.19846,50 compresiones
462,-12.27507,50 compresiones
463,-10.29507,50 compresiones
464,-11.3557,50 compresiones
465,-11.84412,50 compresiones
466,-11.82257,50 compresiones
467,-11.33415,50 compresiones
468,-10.55364,50 compresiones
469,-10.08438,50 compresiones
470,-10.07959,50 compresiones
471,-10.06522,50 compresiones
472,-9.679757,50 compresiones
473,-9.169792,50 compresiones
474,-8.537724,50 compresiones
475,-9.303867,50 compresiones
476,-7.965509,50 compresiones
477,-6.79235,50 compresiones
478,-7.876924,50 compresiones
479,-0.4525041,50 compresiones
480,-7.098808,50 compresiones
481,-7.762002,50 compresiones
482,-12.39478,50 compresiones
483,-11.33894,50 compresiones
484,-11.88242,50 compresiones
485,-11.892,50 compresiones
486,-12.24395,50 compresiones
487,-12.14339,50 compresiones
488,-10.28549,50 compresiones
489,-10.92714,50 compresiones
490,-10.1993,50 compresiones
491,-9.258378,50 compresiones
492,-9.636662,50 compresiones
493,-9.342175,50 compresiones
494,-9.136273,50 compresiones
495,-5.693412,50 compresiones
496,-5.523423,50 compresiones
497,-8.109161,50 compresiones
498,-6.789956,50 compresiones
499,-5.841852,50 compresiones
500,-7.462727,50 compresiones
501,-7.898471,50 compresiones
502,-7.94875,50 compresiones
503,-8.324639,50 compresiones
504,-8.190564,50 compresiones
505,-8.291121,50 compresiones
506,-8.178593,50 compresiones
507,-8.087613,50 compresiones
508,-7.848193,50 compresiones
509,-8.032547,50 compresiones
510,-7.654263,50 compresiones
511,-6.773197,50 compresiones
512,-4.733337,50 compresiones
513,-7.204153,50 compresiones
514,-6.330269,50 compresiones
515,-6.337452,50 compresiones
516,-6.770802,50 compresiones
517,-10.05086,50 compresiones
518,-10.0341,50 compresiones
519,-8.580819,50 compresiones
520,-13.29979,50 compresiones
