timestamp_s,Aceleracion_Z, Comentario
176,9.92636,
177,9.900024,
178,9.859323,
179,9.885659,
180,9.885659,
181,9.835381,
182,9.868899,
183,9.878476,
184,9.876082,
185,9.92636,
186,9.866506,
187,9.85214,
188,9.976639,
189,9.89763,
190,9.861717,
191,9.955091,
192,9.854534,
193,9.847352,
194,9.902418,
195,9.916783,
196,9.892841,
197,9.97185,
198,9.904813,
199,9.878476,
100,9.816227,
101,9.85214,
102,9.919178,
103,9.947908,
104,9.873688,
105,9.849746,
106,9.598354,
107,10.27352,
108,9.416395,
109,9.519346,
110,8.626308,
111,11.88721,
112,9.437943,
113,8.978256,
114,9.138668,
115,10.55843,
116,9.931149,
117,10.07001,
118,9.186552,
119,10.0772,
120,9.119514,
121,9.945514,
122,10.25916,
123,9.346964,
124,9.773131,
125,14.4107,
126,13.80497,
127,-4.577713,
128,6.121974,
129,12.11227,
130,8.62152,
131,9.01417,
132,8.200141,
133,8.437167,
134,8.475474,
135,8.829816,
136,8.346188,
137,9.337387,
138,9.150639,
139,9.263166,
140,9.088389,
141,10.33816,
142,10.56082,
143,10.84334,
144,14.1641,
145,12.63181,
146,12.91672,
147,11.55681,
148,11.96862,
149,11.19529,
150,11.90397,
151,11.67652,
152,11.40119,
153,10.94629,
154,11.11628,
155,11.11867,
156,10.98939,
157,10.96066,
158,10.75715,
159,9.792285,
160,8.542512,
161,11.83693,
162,9.672575,
163,12.53604,
164,2.837129,
165,15.64132,
166,10.74039,
167,9.80665,
168,9.411607,
169,9.931149,
170,9.457097,
171,9.277532,
172,9.229648,
173,9.114726,
174,9.313444,
175,9.196129,
176,8.954314,
177,9.23683,
178,9.045294,
179,9.313444,
180,9.227253,
181,9.050082,
182,9.200917,
183,9.07163,
184,9.485827,
185,9.064447,
186,8.41083,
187,9.153033,
188,8.935161,
189,8.947132,
190,10.18493,
191,7.189788,
192,4.941632,
193,2.396596,
194,10.51773,
195,8.106767,
196,8.403648,
197,9.428367,
198,10.90798,
199,12.72039,
100,11.45625,
101,7.747637,
102,14.42985,
103,9.284714,
104,10.58955,
105,9.440337,
106,10.14423,
107,9.306262,
108,9.67018,
109,9.595961,
110,9.380483,
111,9.471462,
112,9.466674,
113,9.325416,
114,9.184157,
115,9.203311,
116,9.143456,
117,9.188946,
118,9.296685,
119,9.229648,
120,9.234436,
121,8.990228,
122,9.212888,
123,10.34056,
124,7.503428,
125,10.1993,
126,8.585608,
127,-10.18733,
128,0.9816227,
129,11.5616,
130,6.940791,
131,8.568848,
132,9.691729,
133,11.49696,
134,11.02291,
135,12.45464,
136,12.81616,
137,17.0946,
138,12.84489,
139,14.11382,
140,12.718,
141,12.44506,
142,11.26951,
143,11.74595,
144,11.08755,
145,11.15937,
146,10.71405,
147,9.818622,
148,15.74906,
149,6.607996,
150,10.07241,
151,8.094796,
152,9.73243,
153,10.04368,
154,8.566454,
155,10.35732,
156,9.313444,
157,9.344569,
158,9.41879,
159,9.323022,
160,9.346964,
161,9.356541,
162,9.476251,
163,9.342175,
164,9.301474,
165,9.215282,
166,9.030929,
167,9.102755,
168,9.160215,
169,8.717288,
170,9.49301,
171,9.763555,
172,9.277532,
173,11.99256,
174,11.81778,
175,5.707777,
176,8.532935,
177,7.850587,
178,9.232041,
179,8.329428,
180,8.853758,
181,9.524135,
182,9.370906,
183,10.08438,
184,11.05163,
185,12.04283,
186,19.6127,
187,12.98136,
188,12.76828,
189,12.22719,
190,11.82736,
191,11.25275,
192,11.2719,
193,11.03488,
194,11.03966,
195,10.99417,
196,11.22162,
197,10.84813,
198,10.12508,
199,9.607931,
100,9.28232,
101,9.186552,
102,9.421184,
103,9.057265,
104,9.105149,
105,9.277532,
106,9.346964,
107,10.01734,
108,9.665392,
109,2.111686,
110,8.018182,
111,8.475474,
112,9.469068,
113,8.327033,
114,10.49857,
115,9.679757,
116,10.36689,
117,11.53526,
118,12.09311,
119,12.1817,
120,12.69406,
121,10.42196,
122,12.40436,
123,12.2224,
124,11.76032,
125,11.5616,
126,11.59273,
127,11.32936,
128,11.30542,
129,11.33894,
130,10.05086,
131,10.41957,
132,13.35965,
133,7.781156,
134,15.57668,
135,13.21839,
136,6.586449,
137,9.825804,
138,8.257602,
139,9.229648,
140,9.306262,
141,9.653421,
142,9.263166,
143,9.3733,
144,9.244013,
145,9.514558,
146,9.677363,
147,9.44752,
148,9.540894,
149,9.370906,
150,9.289502,
151,9.512163,
152,9.210494,
153,9.445126,
154,9.44752,
155,7.575254,
156,9.181764,
157,9.696517,
158,10.90559,
159,11.04206,
160,7.129933,
161,6.694188,
162,7.872135,
163,6.888118,
164,7.314286,
165,7.742848,
166,13.84806,
167,11.82975,
168,13.02206,
169,18.86631,
170,19.6127,
171,12.11945,
172,12.69645,
173,11.57596,
174,11.44189,
175,11.18571,
176,11.00375,
177,11.30542,
178,10.97502,
179,10.87207,
180,9.576807,
181,14.32451,
182,12.77067,
183,9.11712,
184,4.022259,
185,7.682993,
186,14.24311,
187,8.221688,
188,10.68772,
189,9.303867,
190,9.442732,
191,9.466674,
192,9.404425,
193,9.639056,
194,9.555259,
195,9.61272,
196,9.435549,
197,9.414001,
198,9.334992,
199,9.325416,
100,12.37084,
101,12.54083,
102,12.80419,
103,10.4459,
104,13.52485,
105,10.9415,
106,11.97101,
107,11.22881,
108,11.33654,
109,11.30542,
110,11.29824,
111,11.21205,
112,10.88165,
113,5.499481,
114,8.130709,
115,9.967062,
116,8.836999,
117,7.271191,
118,14.39155,
119,8.475474,
120,10.67814,
121,9.351752,
122,9.495404,
123,9.888053,
124,9.615114,
125,9.457097,
126,9.634268,
127,9.543288,
128,9.574412,
129,9.466674,
130,9.344569,
131,9.263166,
132,9.433155,
133,9.457097,
134,9.291897,
135,9.097966,
136,9.296685,
137,9.378088,
138,9.919178,
139,9.557653,
140,9.607931,
141,15.47373,
142,10.65659,
143,6.368577,
144,10.62547,
145,7.108385,
146,9.203311,
147,8.686164,
148,9.380483,
149,11.58075,
150,12.39478,
151,10.85531,
152,13.38838,
153,12.9646,
154,12.51689,
155,12.05002,
156,11.59751,
157,11.51611,
158,11.17374,
159,10.82658,
160,10.97981,
161,10.6949,
162,10.4483,
163,11.44907,
164,10.3645,
165,9.591172,
166,10.76672,
167,9.727641,
168,11.89679,
169,14.18086,
170,7.149086,
171,10.93432,
172,9.837775,
173,10.07001,
174,9.41879,
175,9.43076,
176,9.258378,
177,9.442732,
178,9.150639,
179,9.165004,
180,9.11712,
181,9.198523,
182,9.193734,
183,9.160215,
184,9.416395,
185,10.02213,
186,9.054871,
187,9.397242,
188,9.131485,
189,14.08509,
190,12.77786,
191,-1.623269,
192,12.20085,
193,6.868965,
194,9.102755,
195,9.502586,
196,10.34295,
197,11.15698,
198,18.5383,
199,12.60547,
100,14.39155,
101,7.48188,
102,11.24078,
103,9.557653,
104,9.720459,
105,9.627085,
106,9.378088,
107,9.490616,
108,9.562442,
109,9.533711,
110,9.239224,
111,9.366117,
112,9.229648,
113,9.112331,
114,9.136273,
115,9.085996,
116,9.28232,
117,9.059659,
118,8.808268,
119,9.414001,
120,8.822633,
121,9.454702,
122,11.16177,
123,10.42914,
124,-0.1460463,
125,6.459556,
126,10.05086,
127,9.208099,
128,9.368511,
129,19.6127,
130,12.04523,
131,13.80018,
132,13.46978,
133,12.70124,
134,11.9351,
135,11.11628,
136,12.42112,
137,11.21683,
138,10.90798,
139,11.31021,
140,10.96784,
141,10.55125,
142,14.53041,
143,7.66384,
144,12.25592,
145,10.20888,
146,11.41795,
147,7.156269,
148,9.583989,
149,12.71321,
150,7.984663,
151,10.87925,
152,9.43076,
153,9.765948,
154,9.299079,
155,9.703699,
156,9.392453,
157,9.507375,
158,9.380483,
159,9.459491,
160,9.349358,
161,9.325416,
162,9.222465,
163,9.181764,
164,9.239224,
165,9.43076,
166,9.423578,
167,9.291897,
168,9.064447,
169,9.579201,
170,8.5473,
171,7.817069,
172,18.37071,
